Time_Step,Simulated_MSD,Theoretical_MSD
789,1602.5895466882114,1578.0
790,1611.0654581732765,1580.0
791,1612.251114432532,1582.0
792,1614.682156304677,1584.0
793,1613.4249690658273,1586.0
794,1610.4057318620091,1588.0
795,1611.2210114803065,1590.0
796,1608.645994541709,1592.0
797,1610.815936416425,1594.0
798,1611.0422379126687,1596.0
799,1614.6341484641223,1598.0
800,1616.3783735874786,1600.0
801,1611.8511754604374,1602.0
802,1617.2377580685215,1604.0
803,1619.0222732279735,1606.0
804,1622.5594553327528,1608.0
805,1625.1142061753274,1610.0
806,1625.21846083367,1612.0
807,1628.779312949708,1614.0
808,1633.764066744942,1616.0
809,1638.6972370930405,1618.0
810,1646.0220122014905,1620.0
811,1644.294277652954,1622.0
812,1646.6984790675574,1624.0
813,1649.55824941752,1626.0
814,1651.720559451218,1628.0
815,1645.9846130956082,1630.0
816,1644.747470548039,1632.0
817,1646.5997169213133,1634.0
818,1641.996708258701,1636.0
819,1643.8124532063605,1638.0
820,1647.9811397074188,1640.0
821,1651.3865409997497,1642.0
822,1652.2573671964487,1644.0
823,1649.1900161181802,1646.0
824,1653.6084220200723,1648.0
825,1654.1218639471535,1650.0
826,1661.3489738849034,1652.0
827,1665.401748088013,1654.0
828,1661.6108354461417,1656.0
829,1664.5223234072535,1658.0
830,1660.2142305461327,1660.0
831,1659.693693677328,1662.0
832,1666.852721172745,1664.0
833,1674.3328029706015,1666.0
834,1670.4024949987047,1668.0
835,1673.2379518293626,1670.0
836,1678.6531468592598,1672.0
837,1679.0522945171947,1674.0
838,1685.9509637815315,1676.0
839,1690.6550116762326,1678.0
840,1694.7115513166493,1680.0
841,1696.133855101243,1682.0
842,1693.9263248041543,1684.0
843,1689.5620556253964,1686.0
844,1696.6910561274544,1688.0
845,1702.0149147519603,1690.0
846,1705.6808881708996,1692.0
847,1707.4509767572051,1694.0
848,1706.928064243209,1696.0
849,1713.9331890966855,1698.0
850,1720.0527873798842,1700.0
851,1725.1283828310377,1702.0
852,1728.3398977851452,1704.0
853,1734.2459063403314,1706.0
854,1739.0424352155599,1708.0
855,1739.9693312445972,1710.0
